layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_b
rdosta,38,34,34,0,4,0,False,"lnam_refs, ffpt_rind, status, catros"
fshzne,29,26,26,0,3,0,False,"lnam_refs, ffpt_rind, status"
boylat,42,36,36,0,6,0,False,"natcon, colpat, lnam_refs, ffpt_rind, colour, status"
lndelv,31,29,29,0,2,0,False,"lnam_refs, ffpt_rind"
m_covr,22,20,20,0,2,0,False,"lnam_refs, ffpt_rind"
marcul,42,37,37,0,5,0,False,"lnam_refs, restrn, ffpt_rind, status, quasou"
cgusta,32,29,29,0,3,0,False,"lnam_refs, ffpt_rind, status"
slogrd,34,28,28,0,6,0,False,"natcon, natqua, lnam_refs, natsur, ffpt_rind, colour"
curent,31,29,29,0,2,0,False,"lnam_refs, ffpt_rind"
navlne,32,29,29,0,3,0,False,"lnam_refs, ffpt_rind, status"
pipsol,39,34,34,0,5,0,False,"lnam_refs, ffpt_rind, prodct, status, catpip"
dmpgrd,30,25,25,0,5,0,False,"lnam_refs, restrn, catdpg, ffpt_rind, status"
edge,22,22,22,0,0,0,True,
uwtroc,37,30,30,0,7,0,False,"natqua, lnam_refs, natsur, ffpt_rind, status, tecsou, quasou"
bcnlat,47,41,41,0,6,0,False,"natcon, colpat, lnam_refs, ffpt_rind, colour, status"
ponton,38,34,34,0,4,0,False,"lnam_refs, natcon, ffpt_rind, status"
buaare,34,32,32,0,2,0,False,"lnam_refs, ffpt_rind"
tesare,27,24,24,0,3,0,False,"lnam_refs, ffpt_rind, restrn"
face,10,10,10,0,0,0,True,
magvar,28,26,26,0,2,0,False,"lnam_refs, ffpt_rind"
rivers,28,25,25,0,3,0,False,"lnam_refs, ffpt_rind, status"
cblare,32,28,28,0,4,0,False,"lnam_refs, ffpt_rind, restrn, status"
ctsare,32,29,29,0,3,0,False,"lnam_refs, ffpt_rind, status"
m_npub,25,23,23,0,2,0,False,"lnam_refs, ffpt_rind"
pilpnt,38,34,34,0,4,0,False,"lnam_refs, ffpt_rind, colour, colpat"
buisgl,42,35,35,0,7,0,False,"functn, natcon, colpat, lnam_refs, ffpt_rind, colour, status"
feryrt,33,30,30,0,3,0,False,"lnam_refs, ffpt_rind, status"
rtpbcn,39,36,36,0,3,0,False,"lnam_refs, ffpt_rind, status"
mipare,34,29,29,0,5,0,False,"lnam_refs, catmpa, restrn, ffpt_rind, status"
topmar,39,34,34,0,5,0,False,"colpat, lnam_refs, ffpt_rind, colour, status"
lights,49,43,43,0,6,0,False,"catlit, lnam_refs, ffpt_rind, colour, litvis, status"
hrbfac,35,30,30,0,5,0,False,"natcon, lnam_refs, ffpt_rind, cathaf, status"
boyspp,42,35,35,0,7,0,False,"natcon, colpat, lnam_refs, catspm, ffpt_rind, colour, status"
damcon,40,35,35,0,5,0,False,"natcon, colpat, lnam_refs, ffpt_rind, colour"
exezne,26,24,24,0,2,0,False,"lnam_refs, ffpt_rind"
slcons,46,40,40,0,6,0,False,"natcon, colpat, lnam_refs, ffpt_rind, colour, status"
lakare,30,28,28,0,2,0,False,"lnam_refs, ffpt_rind"
airare,32,28,28,0,4,0,False,"lnam_refs, ffpt_rind, catair, status"
m_qual,33,30,30,0,3,0,False,"lnam_refs, ffpt_rind, tecsou"
splare,31,27,27,0,4,0,False,"lnam_refs, ffpt_rind, restrn, status"
wedklp,28,26,26,0,2,0,False,"lnam_refs, ffpt_rind"
tssbnd,29,26,26,0,3,0,False,"lnam_refs, ffpt_rind, status"
