attribute,gpkg,postgis,notes
METADATA_LAYER_NAME,wrecks,wrecks,Layer comparison between gpkg and postgis
METADATA_TOTAL_FEATURES,202,202,Total features in each format
METADATA_TOTAL_COLUMNS,42,42,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_catwrk,PRESENT,PRESENT,Column presence comparison
COLUMN_conrad,PRESENT,PRESENT,Column presence comparison
COLUMN_convis,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_expsou,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,MISSING,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_height,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_nobjnm,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_objnam,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_quasou,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_souacc,PRESENT,PRESENT,Column presence comparison
COLUMN_status,PRESENT,PRESENT,Column presence comparison
COLUMN_tecsou,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
COLUMN_valsou,PRESENT,PRESENT,Column presence comparison
COLUMN_veracc,PRESENT,PRESENT,Column presence comparison
COLUMN_verdat,PRESENT,PRESENT,Column presence comparison
COLUMN_verlen,PRESENT,PRESENT,Column presence comparison
COLUMN_watlev,PRESENT,PRESENT,Column presence comparison
COLUMN_wkb_geometry,MISSING,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,202/202 (100.0%),202/202 (100.0%),Property completeness comparison
PROP_COMPLETENESS_catwrk,202/202 (100.0%),202/202 (100.0%),Property completeness comparison
PROP_COMPLETENESS_conrad,0/202 (0.0%),0/202 (0.0%),Property completeness comparison
PROP_COMPLETENESS_convis,0/202 (0.0%),0/202 (0.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_dsnm,202/202 (100.0%),202/202 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_edtn,202/202 (100.0%),202/202 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_updn,202/202 (100.0%),202/202 (100.0%),Property completeness comparison
PROP_COMPLETENESS_expsou,129/202 (63.9%),129/202 (63.9%),Property completeness comparison
PROP_COMPLETENESS_ffpt_rind,0/202 (0.0%),0/202 (0.0%),Property completeness comparison
PROP_COMPLETENESS_fidn,202/202 (100.0%),202/202 (100.0%),Property completeness comparison
PROP_COMPLETENESS_fids,202/202 (100.0%),202/202 (100.0%),Property completeness comparison
PROP_COMPLETENESS_grup,202/202 (100.0%),202/202 (100.0%),Property completeness comparison
PROP_COMPLETENESS_height,0/202 (0.0%),0/202 (0.0%),Property completeness comparison
PROP_COMPLETENESS_inform,10/202 (5.0%),10/202 (5.0%),Property completeness comparison
PROP_COMPLETENESS_lnam,202/202 (100.0%),202/202 (100.0%),Property completeness comparison
PROP_COMPLETENESS_lnam_refs,0/202 (0.0%),0/202 (0.0%),Property completeness comparison
PROP_COMPLETENESS_ninfom,0/202 (0.0%),0/202 (0.0%),Property completeness comparison
PROP_COMPLETENESS_nobjnm,0/202 (0.0%),0/202 (0.0%),Property completeness comparison
PROP_COMPLETENESS_ntxtds,0/202 (0.0%),0/202 (0.0%),Property completeness comparison
PROP_COMPLETENESS_objl,202/202 (100.0%),202/202 (100.0%),Property completeness comparison
PROP_COMPLETENESS_objnam,8/202 (4.0%),8/202 (4.0%),Property completeness comparison
PROP_COMPLETENESS_ogc_fid,202/202 (100.0%),202/202 (100.0%),Property completeness comparison
PROP_COMPLETENESS_prim,202/202 (100.0%),202/202 (100.0%),Property completeness comparison
PROP_COMPLETENESS_quasou,193/202 (95.5%),193/202 (95.5%),Property completeness comparison
PROP_COMPLETENESS_rcid,202/202 (100.0%),202/202 (100.0%),Property completeness comparison
PROP_COMPLETENESS_recdat,0/202 (0.0%),0/202 (0.0%),Property completeness comparison
PROP_COMPLETENESS_recind,0/202 (0.0%),0/202 (0.0%),Property completeness comparison
PROP_COMPLETENESS_rver,202/202 (100.0%),202/202 (100.0%),Property completeness comparison
PROP_COMPLETENESS_scamax,0/202 (0.0%),0/202 (0.0%),Property completeness comparison
PROP_COMPLETENESS_scamin,126/202 (62.4%),126/202 (62.4%),Property completeness comparison
PROP_COMPLETENESS_sordat,202/202 (100.0%),202/202 (100.0%),Property completeness comparison
