layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_b
lndare,29,26,26,0,3,0,False,"lnam_refs, ffpt_rind, status"
ctnare,29,27,27,0,2,0,False,"lnam_refs, ffpt_rind"
connectednode,10,10,10,0,0,0,True,
depcnt,28,26,26,0,2,0,False,"lnam_refs, ffpt_rind"
cblohd,39,36,36,0,3,0,False,"lnam_refs, ffpt_rind, status"
slcons,46,40,40,0,6,0,False,"colpat, lnam_refs, natcon, status, ffpt_rind, colour"
coalne,35,32,32,0,3,0,False,"lnam_refs, ffpt_rind, colour"
lndrgn,31,26,26,0,5,0,False,"natsur, catlnd, lnam_refs, ffpt_rind, natqua"
lndelv,31,29,29,0,2,0,False,"lnam_refs, ffpt_rind"
uwtroc,37,30,30,0,7,0,False,"natsur, lnam_refs, tecsou, quasou, status, ffpt_rind, natqua"
obstrn,44,35,35,0,9,0,False,"natsur, lnam_refs, tecsou, natcon, quasou, prodct, status, ffpt_rind, natqua"
mipare,34,29,29,0,5,0,False,"restrn, lnam_refs, catmpa, status, ffpt_rind"
feryrt,33,30,30,0,3,0,False,"lnam_refs, ffpt_rind, status"
lights,49,43,43,0,6,0,False,"catlit, lnam_refs, litvis, status, ffpt_rind, colour"
buisgl,42,35,35,0,7,0,False,"colpat, lnam_refs, natcon, functn, status, ffpt_rind, colour"
fshzne,29,26,26,0,3,0,False,"lnam_refs, ffpt_rind, status"
navlne,32,29,29,0,3,0,False,"lnam_refs, ffpt_rind, status"
fairwy,37,32,32,0,5,0,False,"restrn, lnam_refs, quasou, status, ffpt_rind"
face,10,10,10,0,0,0,True,
m_npub,25,23,23,0,2,0,False,"lnam_refs, ffpt_rind"
bcnspp,47,40,40,0,7,0,False,"colpat, lnam_refs, natcon, status, ffpt_rind, colour, catspm"
prcare,29,25,25,0,4,0,False,"lnam_refs, ffpt_rind, status, restrn"
lakare,30,28,28,0,2,0,False,"lnam_refs, ffpt_rind"
pipare,34,28,28,0,6,0,False,"restrn, lnam_refs, catpip, prodct, status, ffpt_rind"
lndmrk,42,34,34,0,8,0,False,"catlmk, colpat, lnam_refs, natcon, functn, status, ffpt_rind, colour"
tsslpt,31,27,27,0,4,0,False,"lnam_refs, ffpt_rind, status, restrn"
bcnlat,47,41,41,0,6,0,False,"colpat, lnam_refs, natcon, status, ffpt_rind, colour"
splare,31,27,27,0,4,0,False,"lnam_refs, ffpt_rind, status, restrn"
