layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_b
m_npub,30,23,23,0,7,0,False,"ffpt_rind, name_rcnm, usag, name_rcid, ornt, lnam_refs, mask"
rdocal,40,32,32,0,8,0,False,"ffpt_rind, status, name_rcnm, usag, name_rcid, ornt, lnam_refs, mask"
slogrd,39,28,28,0,11,0,False,"ffpt_rind, name_rcnm, natqua, natsur, usag, name_rcid, ornt, colour, lnam_refs, mask, natcon"
boysaw,46,35,35,0,11,0,False,"ffpt_rind, status, name_rcnm, natcon, usag, name_rcid, colpat, ornt, lnam_refs, mask, colour"
fshzne,34,26,26,0,8,0,False,"ffpt_rind, status, name_rcnm, usag, name_rcid, ornt, lnam_refs, mask"
rectrc,46,36,36,0,10,0,False,"ffpt_rind, status, quasou, name_rcnm, usag, name_rcid, ornt, lnam_refs, mask, tecsou"
pilbop,41,33,33,0,8,0,False,"ffpt_rind, status, name_rcnm, usag, name_rcid, ornt, lnam_refs, mask"
admare,35,28,28,0,7,0,False,"ffpt_rind, name_rcnm, usag, name_rcid, ornt, lnam_refs, mask"
lights,54,43,43,0,11,0,False,"ffpt_rind, status, name_rcnm, usag, litvis, name_rcid, ornt, colour, catlit, lnam_refs, mask"
m_nsys,32,25,25,0,7,0,False,"ffpt_rind, name_rcnm, usag, name_rcid, ornt, lnam_refs, mask"
exezne,31,24,24,0,7,0,False,"ffpt_rind, name_rcnm, usag, name_rcid, ornt, lnam_refs, mask"
buisgl,47,35,35,0,12,0,False,"ffpt_rind, status, name_rcnm, natcon, usag, name_rcid, colpat, ornt, lnam_refs, functn, mask, colour"
fogsig,44,36,36,0,8,0,False,"ffpt_rind, status, name_rcnm, usag, name_rcid, ornt, lnam_refs, mask"
resare,39,29,29,0,10,0,False,"ffpt_rind, status, name_rcnm, catrea, usag, name_rcid, ornt, lnam_refs, mask, restrn"
isolatednode,10,10,10,0,0,0,True,
