layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_b
pipare,39,28,28,0,11,0,False,"ornt, usag, name_rcid, status, lnam_refs, name_rcnm, mask, catpip, prodct, restrn, ffpt_rind"
fairwy,42,32,32,0,10,0,False,"ornt, name_rcid, lnam_refs, quasou, name_rcnm, mask, restrn, status, usag, ffpt_rind"
exezne,31,24,24,0,7,0,False,"ornt, name_rcid, lnam_refs, name_rcnm, mask, usag, ffpt_rind"
fshzne,34,26,26,0,8,0,False,"ornt, name_rcid, lnam_refs, name_rcnm, mask, status, usag, ffpt_rind"
magvar,33,26,26,0,7,0,False,"ornt, name_rcid, lnam_refs, name_rcnm, mask, usag, ffpt_rind"
boysaw,46,35,35,0,11,0,False,"colpat, ornt, colour, name_rcid, lnam_refs, name_rcnm, mask, natcon, status, usag, ffpt_rind"
lights,54,43,43,0,11,0,False,"litvis, catlit, ornt, colour, name_rcid, lnam_refs, name_rcnm, mask, status, usag, ffpt_rind"
buisgl,47,35,35,0,12,0,False,"colpat, ornt, functn, colour, name_rcid, lnam_refs, name_rcnm, mask, natcon, status, usag, ffpt_rind"
boylat,47,36,36,0,11,0,False,"colpat, ornt, colour, name_rcid, lnam_refs, name_rcnm, mask, natcon, status, usag, ffpt_rind"
resare,39,29,29,0,10,0,False,"ornt, usag, name_rcid, lnam_refs, name_rcnm, mask, restrn, status, catrea, ffpt_rind"
unsare,30,23,23,0,7,0,False,"ornt, name_rcid, lnam_refs, name_rcnm, mask, usag, ffpt_rind"
slcons,51,40,40,0,11,0,False,"colpat, ornt, colour, name_rcid, lnam_refs, name_rcnm, mask, natcon, status, usag, ffpt_rind"
coalne,40,32,32,0,8,0,False,"ornt, colour, name_rcid, lnam_refs, name_rcnm, mask, usag, ffpt_rind"
fogsig,44,36,36,0,8,0,False,"ornt, name_rcid, lnam_refs, name_rcnm, mask, status, usag, ffpt_rind"
pilbop,41,33,33,0,8,0,False,"ornt, name_rcid, lnam_refs, name_rcnm, mask, status, usag, ffpt_rind"
tssbnd,34,26,26,0,8,0,False,"ornt, name_rcid, lnam_refs, name_rcnm, mask, status, usag, ffpt_rind"
damcon,45,35,35,0,10,0,False,"colpat, ornt, colour, name_rcid, lnam_refs, name_rcnm, mask, natcon, usag, ffpt_rind"
cblare,37,28,28,0,9,0,False,"ornt, name_rcid, lnam_refs, name_rcnm, mask, restrn, status, usag, ffpt_rind"
prcare,34,25,25,0,9,0,False,"ornt, name_rcid, lnam_refs, name_rcnm, mask, restrn, status, usag, ffpt_rind"
hrbfac,40,30,30,0,10,0,False,"ornt, name_rcid, lnam_refs, name_rcnm, mask, natcon, status, usag, ffpt_rind, cathaf"
slogrd,39,28,28,0,11,0,False,"ornt, natqua, colour, natsur, name_rcid, lnam_refs, name_rcnm, mask, natcon, usag, ffpt_rind"
boyspp,47,35,35,0,12,0,False,"colpat, ornt, colour, name_rcid, lnam_refs, catspm, name_rcnm, mask, natcon, status, usag, ffpt_rind"
airare,37,28,28,0,9,0,False,"ornt, catair, name_rcid, lnam_refs, name_rcnm, mask, status, usag, ffpt_rind"
sbdare,36,26,26,0,10,0,False,"ornt, natqua, colour, natsur, name_rcid, lnam_refs, name_rcnm, mask, usag, ffpt_rind"
lakare,35,28,28,0,7,0,False,"ornt, name_rcid, lnam_refs, name_rcnm, mask, usag, ffpt_rind"
rectrc,46,36,36,0,10,0,False,"ornt, tecsou, name_rcid, lnam_refs, quasou, name_rcnm, mask, status, usag, ffpt_rind"
soundg,39,29,29,0,10,0,False,"ornt, tecsou, name_rcid, lnam_refs, quasou, name_rcnm, mask, status, usag, ffpt_rind"
bridge,49,38,38,0,11,0,False,"colpat, catbrg, ornt, colour, name_rcid, lnam_refs, name_rcnm, mask, natcon, usag, ffpt_rind"
uwtroc,42,30,30,0,12,0,False,"ornt, tecsou, natqua, natsur, name_rcid, lnam_refs, quasou, name_rcnm, mask, status, usag, ffpt_rind"
depcnt,33,26,26,0,7,0,False,"ornt, name_rcid, lnam_refs, name_rcnm, mask, usag, ffpt_rind"
navlne,37,29,29,0,8,0,False,"ornt, name_rcid, lnam_refs, name_rcnm, mask, status, usag, ffpt_rind"
pilpnt,43,34,34,0,9,0,False,"colpat, ornt, colour, name_rcid, lnam_refs, name_rcnm, mask, usag, ffpt_rind"
tsslpt,36,27,27,0,9,0,False,"ornt, name_rcid, lnam_refs, name_rcnm, mask, restrn, status, usag, ffpt_rind"
bcnlat,52,41,41,0,11,0,False,"colpat, ornt, colour, name_rcid, lnam_refs, name_rcnm, mask, natcon, status, usag, ffpt_rind"
