layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_b
rtpbcn,39,36,36,0,3,0,False,"lnam_refs, ffpt_rind, status"
buaare,34,32,32,0,2,0,False,"lnam_refs, ffpt_rind"
magvar,28,26,26,0,2,0,False,"lnam_refs, ffpt_rind"
buisgl,42,35,35,0,7,0,False,"colpat, ffpt_rind, colour, functn, status, natcon, lnam_refs"
bridge,44,38,38,0,6,0,False,"colpat, ffpt_rind, colour, catbrg, natcon, lnam_refs"
cblohd,39,36,36,0,3,0,False,"lnam_refs, ffpt_rind, status"
soundg,34,29,29,0,5,0,False,"tecsou, ffpt_rind, status, lnam_refs, quasou"
damcon,40,35,35,0,5,0,False,"colpat, ffpt_rind, colour, natcon, lnam_refs"
cgusta,32,29,29,0,3,0,False,"lnam_refs, ffpt_rind, status"
splare,31,27,27,0,4,0,False,"restrn, ffpt_rind, lnam_refs, status"
depcnt,28,26,26,0,2,0,False,"lnam_refs, ffpt_rind"
rivers,28,25,25,0,3,0,False,"lnam_refs, ffpt_rind, status"
topmar,39,34,34,0,5,0,False,"colpat, ffpt_rind, colour, status, lnam_refs"
boylat,42,36,36,0,6,0,False,"colpat, ffpt_rind, colour, status, natcon, lnam_refs"
pipsol,39,34,34,0,5,0,False,"ffpt_rind, prodct, status, lnam_refs, catpip"
face,10,10,10,0,0,0,True,
coalne,35,32,32,0,3,0,False,"lnam_refs, ffpt_rind, colour"
canals,35,32,32,0,3,0,False,"lnam_refs, ffpt_rind, status"
sbdare,31,26,26,0,5,0,False,"ffpt_rind, natsur, colour, natqua, lnam_refs"
tesare,27,24,24,0,3,0,False,"restrn, ffpt_rind, lnam_refs"
obstrn,44,35,35,0,9,0,False,"tecsou, ffpt_rind, natsur, lnam_refs, status, natcon, natqua, prodct, quasou"
siltnk,43,36,36,0,7,0,False,"colpat, ffpt_rind, lnam_refs, colour, status, natcon, prodct"
ofsplf,43,35,35,0,8,0,False,"colpat, ffpt_rind, lnam_refs, colour, catofp, status, natcon, prodct"
depare,30,27,27,0,3,0,False,"quasou, ffpt_rind, lnam_refs"
rdocal,35,32,32,0,3,0,False,"lnam_refs, ffpt_rind, status"
achare,34,29,29,0,5,0,False,"ffpt_rind, catach, restrn, status, lnam_refs"
tssbnd,29,26,26,0,3,0,False,"lnam_refs, ffpt_rind, status"
feryrt,33,30,30,0,3,0,False,"lnam_refs, ffpt_rind, status"
m_nsys,27,25,25,0,2,0,False,"lnam_refs, ffpt_rind"
tsslpt,31,27,27,0,4,0,False,"restrn, ffpt_rind, lnam_refs, status"
cblsub,36,33,33,0,3,0,False,"lnam_refs, ffpt_rind, status"
unsare,25,23,23,0,2,0,False,"lnam_refs, ffpt_rind"
rectrc,41,36,36,0,5,0,False,"tecsou, ffpt_rind, status, lnam_refs, quasou"
ponton,38,34,34,0,4,0,False,"lnam_refs, ffpt_rind, status, natcon"
slogrd,34,28,28,0,6,0,False,"ffpt_rind, natsur, colour, natcon, natqua, lnam_refs"
bcnlat,47,41,41,0,6,0,False,"colpat, ffpt_rind, colour, status, natcon, lnam_refs"
curent,31,29,29,0,2,0,False,"lnam_refs, ffpt_rind"
ctnare,29,27,27,0,2,0,False,"lnam_refs, ffpt_rind"
admare,30,28,28,0,2,0,False,"lnam_refs, ffpt_rind"
boyspp,42,35,35,0,7,0,False,"colpat, ffpt_rind, colour, catspm, status, natcon, lnam_refs"
hrbfac,35,30,30,0,5,0,False,"ffpt_rind, cathaf, status, natcon, lnam_refs"
m_npub,25,23,23,0,2,0,False,"lnam_refs, ffpt_rind"
resare,34,29,29,0,5,0,False,"ffpt_rind, catrea, restrn, status, lnam_refs"
mipare,34,29,29,0,5,0,False,"ffpt_rind, catmpa, restrn, status, lnam_refs"
