layer_name,gpkg_count,postgis_count,difference,match,missing_in,status
isolatednode,0.0,0.0,0.0,True,,
connectednode,0.0,0.0,0.0,True,,
dsid,6.0,6.0,0.0,True,,
edge,0.0,0.0,0.0,True,,
face,0.0,0.0,0.0,True,,
dmpgrd,,,,,postgis,MISSING
boyspp,,,,,postgis,MISSING
magvar,,,,,postgis,MISSING
damcon,,,,,postgis,MISSING
navlne,,,,,postgis,MISSING
lndelv,,,,,postgis,MISSING
slotop,,,,,postgis,MISSING
wrecks,,,,,postgis,MISSING
cblsub,,,,,postgis,MISSING
sbdare,,,,,postgis,MISSING
slcons,,,,,postgis,MISSING
wedklp,,,,,postgis,MISSING
wattur,,,,,postgis,MISSING
hrbfac,,,,,postgis,MISSING
tsezne,,,,,postgis,MISSING
boylat,,,,,postgis,MISSING
buaare,,,,,postgis,MISSING
cblare,,,,,postgis,MISSING
prcare,,,,,postgis,MISSING
m_nsys,,,,,postgis,MISSING
conzne,,,,,postgis,MISSING
canals,,,,,postgis,MISSING
rtpbcn,,,,,postgis,MISSING
exezne,,,,,postgis,MISSING
depare,,,,,postgis,MISSING
pipare,,,,,postgis,MISSING
topmar,,,,,postgis,MISSING
ctsare,,,,,postgis,MISSING
uwtroc,,,,,postgis,MISSING
ponton,,,,,postgis,MISSING
lights,,,,,postgis,MISSING
splare,,,,,postgis,MISSING
buisgl,,,,,postgis,MISSING
lndare,,,,,postgis,MISSING
seaare,,,,,postgis,MISSING
depcnt,,,,,postgis,MISSING
c_aggr,,,,,postgis,MISSING
fshzne,,,,,postgis,MISSING
soundg,,,,,postgis,MISSING
coalne,,,,,postgis,MISSING
pipsol,,,,,postgis,MISSING
bcnlat,,,,,postgis,MISSING
airare,,,,,postgis,MISSING
curent,,,,,postgis,MISSING
achare,,,,,postgis,MISSING
rivers,,,,,postgis,MISSING
c_asso,,,,,postgis,MISSING
tsslpt,,,,,postgis,MISSING
rectrc,,,,,postgis,MISSING
ofsplf,,,,,postgis,MISSING
boysaw,,,,,postgis,MISSING
rdosta,,,,,postgis,MISSING
ctnare,,,,,postgis,MISSING
bridge,,,,,postgis,MISSING
siltnk,,,,,postgis,MISSING
unsare,,,,,postgis,MISSING
m_qual,,,,,postgis,MISSING
slogrd,,,,,postgis,MISSING
cblohd,,,,,postgis,MISSING
mipare,,,,,postgis,MISSING
lndmrk,,,,,postgis,MISSING
marcul,,,,,postgis,MISSING
admare,,,,,postgis,MISSING
fogsig,,,,,postgis,MISSING
feryrt,,,,,postgis,MISSING
cgusta,,,,,postgis,MISSING
tssbnd,,,,,postgis,MISSING
tesare,,,,,postgis,MISSING
obstrn,,,,,postgis,MISSING
resare,,,,,postgis,MISSING
m_npub,,,,,postgis,MISSING
rdocal,,,,,postgis,MISSING
lakare,,,,,postgis,MISSING
daymar,,,,,postgis,MISSING
morfac,,,,,postgis,MISSING
fairwy,,,,,postgis,MISSING
pilbop,,,,,postgis,MISSING
pilpnt,,,,,postgis,MISSING
bcnspp,,,,,postgis,MISSING
lndrgn,,,,,postgis,MISSING
m_covr,,,,,postgis,MISSING
