attribute,spatialite,postgis,notes
METADATA_LAYER_NAME,tsezne,tsezne,Layer comparison between spatialite and postgis
METADATA_TOTAL_FEATURES,3,3,Total features in each format
METADATA_GEOMETRY_FEATURES,3,3,Features with non-null geometry
METADATA_TOTAL_COLUMNS,31,30,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_cattss,PRESENT,PRESENT,Column presence comparison
COLUMN_datend,PRESENT,PRESENT,Column presence comparison
COLUMN_datsta,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_status,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,3/3 (100.0%),3/3 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_cattss,3/3 (100.0%),3/3 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_datend,0/3 (0.0%),0/3 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_datsta,0/3 (0.0%),0/3 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_dsid_dsnm,3/3 (100.0%),3/3 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_edtn,3/3 (100.0%),3/3 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_updn,3/3 (100.0%),3/3 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_ffpt_rind,0/3 (0.0%),0/3 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_fidn,3/3 (100.0%),3/3 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_fids,3/3 (100.0%),3/3 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_grup,3/3 (100.0%),3/3 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_inform,1/3 (33.3%),1/3 (33.3%),Values Match (33.3%)
PROP_COMPLETENESS_lnam,3/3 (100.0%),3/3 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_lnam_refs,0/3 (0.0%),0/3 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ninfom,0/3 (0.0%),0/3 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ntxtds,0/3 (0.0%),0/3 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_objl,3/3 (100.0%),3/3 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_ogc_fid,3/3 (100.0%),3/3 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_prim,3/3 (100.0%),3/3 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_rcid,3/3 (100.0%),3/3 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_recdat,0/3 (0.0%),0/3 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_recind,0/3 (0.0%),0/3 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_rver,3/3 (100.0%),3/3 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_scamax,0/3 (0.0%),0/3 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_scamin,0/3 (0.0%),0/3 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_sordat,3/3 (100.0%),3/3 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_sorind,3/3 (100.0%),3/3 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_status,0/3 (0.0%),0/3 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_txtdsc,0/3 (0.0%),0/3 (0.0%),Values Match (0.0%)
