layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_b
face,10,10,10,0,0,0,True,
ofsplf,43,41,41,0,2,0,False,"lnam_refs, ffpt_rind"
m_npub,25,23,23,0,2,0,False,"lnam_refs, ffpt_rind"
tesare,27,25,25,0,2,0,False,"lnam_refs, ffpt_rind"
lakare,30,28,28,0,2,0,False,"lnam_refs, ffpt_rind"
m_nsys,27,25,25,0,2,0,False,"lnam_refs, ffpt_rind"
achare,34,32,32,0,2,0,False,"lnam_refs, ffpt_rind"
buaare,34,32,32,0,2,0,False,"lnam_refs, ffpt_rind"
boysaw,41,39,39,0,2,0,False,"lnam_refs, ffpt_rind"
tsslpt,31,29,29,0,2,0,False,"lnam_refs, ffpt_rind"
siltnk,43,41,41,0,2,0,False,"lnam_refs, ffpt_rind"
mipare,34,32,32,0,2,0,False,"lnam_refs, ffpt_rind"
wedklp,28,26,26,0,2,0,False,"lnam_refs, ffpt_rind"
bcnspp,47,45,45,0,2,0,False,"lnam_refs, ffpt_rind"
boylat,42,40,40,0,2,0,False,"lnam_refs, ffpt_rind"
admare,30,28,28,0,2,0,False,"lnam_refs, ffpt_rind"
seaare,28,26,26,0,2,0,False,"lnam_refs, ffpt_rind"
lights,49,47,47,0,2,0,False,"lnam_refs, ffpt_rind"
m_covr,22,20,20,0,2,0,False,"lnam_refs, ffpt_rind"
rtpbcn,39,37,37,0,2,0,False,"lnam_refs, ffpt_rind"
pilbop,36,34,34,0,2,0,False,"lnam_refs, ffpt_rind"
bridge,44,42,42,0,2,0,False,"lnam_refs, ffpt_rind"
lndelv,31,29,29,0,2,0,False,"lnam_refs, ffpt_rind"
wrecks,41,39,39,0,2,0,False,"lnam_refs, ffpt_rind"
rdosta,38,36,36,0,2,0,False,"lnam_refs, ffpt_rind"
fshzne,29,27,27,0,2,0,False,"lnam_refs, ffpt_rind"
fogsig,39,37,37,0,2,0,False,"lnam_refs, ffpt_rind"
depare,30,28,28,0,2,0,False,"lnam_refs, ffpt_rind"
unsare,25,23,23,0,2,0,False,"lnam_refs, ffpt_rind"
edge,22,22,22,0,0,0,True,
bcnlat,47,45,45,0,2,0,False,"lnam_refs, ffpt_rind"
hrbfac,35,33,33,0,2,0,False,"lnam_refs, ffpt_rind"
pilpnt,38,36,36,0,2,0,False,"lnam_refs, ffpt_rind"
lndmrk,42,40,40,0,2,0,False,"lnam_refs, ffpt_rind"
rivers,28,26,26,0,2,0,False,"lnam_refs, ffpt_rind"
splare,31,29,29,0,2,0,False,"lnam_refs, ffpt_rind"
ctsare,32,30,30,0,2,0,False,"lnam_refs, ffpt_rind"
coalne,35,33,33,0,2,0,False,"lnam_refs, ffpt_rind"
isolatednode,10,10,10,0,0,0,True,
wattur,28,26,26,0,2,0,False,"lnam_refs, ffpt_rind"
pipsol,39,37,37,0,2,0,False,"lnam_refs, ffpt_rind"
navlne,32,30,30,0,2,0,False,"lnam_refs, ffpt_rind"
topmar,39,37,37,0,2,0,False,"lnam_refs, ffpt_rind"
exezne,26,24,24,0,2,0,False,"lnam_refs, ffpt_rind"
sbdare,31,29,29,0,2,0,False,"lnam_refs, ffpt_rind"
lndrgn,31,29,29,0,2,0,False,"lnam_refs, ffpt_rind"
cblare,32,30,30,0,2,0,False,"lnam_refs, ffpt_rind"
canals,35,33,33,0,2,0,False,"lnam_refs, ffpt_rind"
boyspp,42,40,40,0,2,0,False,"lnam_refs, ffpt_rind"
pipare,34,32,32,0,2,0,False,"lnam_refs, ffpt_rind"
resare,34,32,32,0,2,0,False,"lnam_refs, ffpt_rind"
buisgl,42,40,40,0,2,0,False,"lnam_refs, ffpt_rind"
cgusta,32,30,30,0,2,0,False,"lnam_refs, ffpt_rind"
uwtroc,37,35,35,0,2,0,False,"lnam_refs, ffpt_rind"
feryrt,33,31,31,0,2,0,False,"lnam_refs, ffpt_rind"
tssbnd,29,27,27,0,2,0,False,"lnam_refs, ffpt_rind"
soundg,34,32,32,0,2,0,False,"lnam_refs, ffpt_rind"
m_qual,33,31,31,0,2,0,False,"lnam_refs, ffpt_rind"
tsezne,29,27,27,0,2,0,False,"lnam_refs, ffpt_rind"
cblohd,39,37,37,0,2,0,False,"lnam_refs, ffpt_rind"
slogrd,34,32,32,0,2,0,False,"lnam_refs, ffpt_rind"
depcnt,28,26,26,0,2,0,False,"lnam_refs, ffpt_rind"
prcare,29,27,27,0,2,0,False,"lnam_refs, ffpt_rind"
lndare,29,27,27,0,2,0,False,"lnam_refs, ffpt_rind"
ctnare,29,27,27,0,2,0,False,"lnam_refs, ffpt_rind"
marcul,42,40,40,0,2,0,False,"lnam_refs, ffpt_rind"
connectednode,10,10,10,0,0,0,True,
dmpgrd,30,28,28,0,2,0,False,"lnam_refs, ffpt_rind"
rdocal,35,33,33,0,2,0,False,"lnam_refs, ffpt_rind"
daymar,42,40,40,0,2,0,False,"lnam_refs, ffpt_rind"
slcons,46,44,44,0,2,0,False,"lnam_refs, ffpt_rind"
rectrc,41,39,39,0,2,0,False,"lnam_refs, ffpt_rind"
ponton,38,36,36,0,2,0,False,"lnam_refs, ffpt_rind"
conzne,29,27,27,0,2,0,False,"lnam_refs, ffpt_rind"
damcon,40,38,38,0,2,0,False,"lnam_refs, ffpt_rind"
fairwy,37,35,35,0,2,0,False,"lnam_refs, ffpt_rind"
magvar,28,26,26,0,2,0,False,"lnam_refs, ffpt_rind"
