attribute,spatialite,postgis,notes
METADATA_LAYER_NAME,boyspp,boyspp,Layer comparison between spatialite and postgis
METADATA_TOTAL_FEATURES,78,78,Total features in each format
METADATA_TOTAL_COLUMNS,35,43,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,--- COLUMN PRESENCE ---,--- COLUMN PRESENCE ---,Which columns exist in each format
COLUMN_PRESENT_agen,YES,YES,Column agen presence
COLUMN_PRESENT_boyshp,YES,YES,Column boyshp presence
COLUMN_PRESENT_catspm,NO,YES,Column catspm presence
COLUMN_PRESENT_colour,NO,YES,Column colour presence
COLUMN_PRESENT_colpat,NO,YES,Column colpat presence
COLUMN_PRESENT_conrad,YES,YES,Column conrad presence
COLUMN_PRESENT_datend,YES,YES,Column datend presence
COLUMN_PRESENT_datsta,YES,YES,Column datsta presence
COLUMN_PRESENT_dsid_dsnm,YES,YES,Column dsid_dsnm presence
COLUMN_PRESENT_dsid_edtn,YES,YES,Column dsid_edtn presence
COLUMN_PRESENT_dsid_updn,YES,YES,Column dsid_updn presence
COLUMN_PRESENT_ffpt_rind,NO,YES,Column ffpt_rind presence
COLUMN_PRESENT_fidn,YES,YES,Column fidn presence
COLUMN_PRESENT_fids,YES,YES,Column fids presence
COLUMN_PRESENT_grup,YES,YES,Column grup presence
COLUMN_PRESENT_inform,YES,YES,Column inform presence
COLUMN_PRESENT_lnam,YES,YES,Column lnam presence
COLUMN_PRESENT_lnam_refs,NO,YES,Column lnam_refs presence
COLUMN_PRESENT_marsys,YES,YES,Column marsys presence
COLUMN_PRESENT_natcon,NO,YES,Column natcon presence
COLUMN_PRESENT_ninfom,YES,YES,Column ninfom presence
COLUMN_PRESENT_nobjnm,YES,YES,Column nobjnm presence
COLUMN_PRESENT_ntxtds,YES,YES,Column ntxtds presence
COLUMN_PRESENT_objl,YES,YES,Column objl presence
COLUMN_PRESENT_objnam,YES,YES,Column objnam presence
COLUMN_PRESENT_ogc_fid,NO,YES,Column ogc_fid presence
COLUMN_PRESENT_perend,YES,YES,Column perend presence
COLUMN_PRESENT_persta,YES,YES,Column persta presence
COLUMN_PRESENT_picrep,YES,YES,Column picrep presence
