layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_b
daymar,42,35,35,0,7,0,False,"lnam_refs, catspm, natcon, colpat, ffpt_rind, status, colour"
wattur,28,26,26,0,2,0,False,"ffpt_rind, lnam_refs"
slogrd,34,28,28,0,6,0,False,"lnam_refs, natcon, ffpt_rind, natsur, natqua, colour"
conzne,29,26,26,0,3,0,False,"ffpt_rind, status, lnam_refs"
boylat,42,36,36,0,6,0,False,"lnam_refs, natcon, colpat, ffpt_rind, status, colour"
tesare,27,24,24,0,3,0,False,"ffpt_rind, lnam_refs, restrn"
rdosta,38,34,34,0,4,0,False,"ffpt_rind, status, lnam_refs, catros"
curent,31,29,29,0,2,0,False,"ffpt_rind, lnam_refs"
mipare,34,29,29,0,5,0,False,"lnam_refs, ffpt_rind, restrn, status, catmpa"
pilpnt,38,34,34,0,4,0,False,"ffpt_rind, colour, lnam_refs, colpat"
dmpgrd,30,25,25,0,5,0,False,"lnam_refs, ffpt_rind, catdpg, restrn, status"
topmar,39,34,34,0,5,0,False,"lnam_refs, colpat, ffpt_rind, status, colour"
boysaw,41,35,35,0,6,0,False,"lnam_refs, natcon, colpat, ffpt_rind, status, colour"
cblsub,36,33,33,0,3,0,False,"ffpt_rind, status, lnam_refs"
feryrt,33,30,30,0,3,0,False,"ffpt_rind, status, lnam_refs"
fshzne,29,26,26,0,3,0,False,"ffpt_rind, status, lnam_refs"
resare,34,29,29,0,5,0,False,"lnam_refs, catrea, ffpt_rind, restrn, status"
uwtroc,37,30,30,0,7,0,False,"lnam_refs, ffpt_rind, quasou, status, natsur, natqua, tecsou"
tsezne,29,26,26,0,3,0,False,"ffpt_rind, status, lnam_refs"
wrecks,41,36,36,0,5,0,False,"lnam_refs, ffpt_rind, quasou, status, tecsou"
bcnspp,47,40,40,0,7,0,False,"lnam_refs, catspm, natcon, colpat, ffpt_rind, status, colour"
lndmrk,42,34,34,0,8,0,False,"lnam_refs, natcon, colpat, ffpt_rind, status, functn, catlmk, colour"
lndrgn,31,26,26,0,5,0,False,"lnam_refs, ffpt_rind, catlnd, natsur, natqua"
canals,35,32,32,0,3,0,False,"ffpt_rind, status, lnam_refs"
rivers,28,25,25,0,3,0,False,"ffpt_rind, status, lnam_refs"
ctsare,32,29,29,0,3,0,False,"ffpt_rind, status, lnam_refs"
m_nsys,27,25,25,0,2,0,False,"ffpt_rind, lnam_refs"
lndelv,31,29,29,0,2,0,False,"ffpt_rind, lnam_refs"
