layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_b
boysaw,46,35,35,0,11,0,False,"lnam_refs, usag, mask, name_rcnm, ornt, ffpt_rind, name_rcid, colour, status, colpat, natcon"
splare,36,27,27,0,9,0,False,"lnam_refs, usag, mask, name_rcnm, ornt, ffpt_rind, name_rcid, status, restrn"
fogsig,44,36,36,0,8,0,False,"lnam_refs, usag, mask, name_rcnm, ornt, ffpt_rind, name_rcid, status"
curent,36,29,29,0,7,0,False,"lnam_refs, usag, mask, name_rcnm, ornt, ffpt_rind, name_rcid"
face,10,10,10,0,0,0,True,
canals,40,32,32,0,8,0,False,"lnam_refs, usag, mask, name_rcnm, ornt, ffpt_rind, name_rcid, status"
slcons,51,40,40,0,11,0,False,"lnam_refs, usag, mask, name_rcnm, ornt, ffpt_rind, name_rcid, colour, status, colpat, natcon"
cgusta,37,29,29,0,8,0,False,"lnam_refs, usag, mask, name_rcnm, ornt, ffpt_rind, name_rcid, status"
slotop,42,31,31,0,11,0,False,"lnam_refs, usag, mask, name_rcnm, natsur, ffpt_rind, ornt, name_rcid, colour, natqua, natcon"
lakare,35,28,28,0,7,0,False,"lnam_refs, usag, mask, name_rcnm, ornt, ffpt_rind, name_rcid"
wattur,33,26,26,0,7,0,False,"lnam_refs, usag, mask, name_rcnm, ornt, ffpt_rind, name_rcid"
slogrd,39,28,28,0,11,0,False,"lnam_refs, usag, mask, name_rcnm, natsur, ffpt_rind, ornt, name_rcid, colour, natqua, natcon"
lndare,34,26,26,0,8,0,False,"lnam_refs, usag, mask, name_rcnm, ornt, ffpt_rind, name_rcid, status"
pipare,39,28,28,0,11,0,False,"lnam_refs, usag, mask, catpip, name_rcnm, prodct, ornt, ffpt_rind, name_rcid, status, restrn"
depare,35,27,27,0,8,0,False,"lnam_refs, usag, mask, name_rcnm, ornt, ffpt_rind, name_rcid, quasou"
mipare,39,29,29,0,10,0,False,"lnam_refs, usag, mask, name_rcnm, status, ornt, ffpt_rind, name_rcid, catmpa, restrn"
m_nsys,32,25,25,0,7,0,False,"lnam_refs, usag, mask, name_rcnm, ornt, ffpt_rind, name_rcid"
rtpbcn,44,36,36,0,8,0,False,"lnam_refs, usag, mask, name_rcnm, ornt, ffpt_rind, name_rcid, status"
bcnlat,52,41,41,0,11,0,False,"lnam_refs, usag, mask, name_rcnm, ornt, ffpt_rind, name_rcid, colour, status, colpat, natcon"
siltnk,48,36,36,0,12,0,False,"lnam_refs, usag, mask, name_rcnm, prodct, ornt, ffpt_rind, name_rcid, colour, status, colpat, natcon"
airare,37,28,28,0,9,0,False,"lnam_refs, usag, mask, name_rcnm, status, ornt, ffpt_rind, name_rcid, catair"
admare,35,28,28,0,7,0,False,"lnam_refs, usag, mask, name_rcnm, ornt, ffpt_rind, name_rcid"
marcul,47,37,37,0,10,0,False,"lnam_refs, usag, mask, name_rcnm, status, ornt, ffpt_rind, name_rcid, quasou, restrn"
m_qual,38,30,30,0,8,0,False,"lnam_refs, usag, tecsou, mask, name_rcnm, ornt, ffpt_rind, name_rcid"
rivers,33,25,25,0,8,0,False,"lnam_refs, usag, mask, name_rcnm, ornt, ffpt_rind, name_rcid, status"
cblohd,44,36,36,0,8,0,False,"lnam_refs, usag, mask, name_rcnm, ornt, ffpt_rind, name_rcid, status"
ofsplf,48,35,35,0,13,0,False,"lnam_refs, usag, mask, catofp, name_rcnm, prodct, ornt, ffpt_rind, name_rcid, colour, status, colpat, natcon"
achare,39,29,29,0,10,0,False,"lnam_refs, usag, mask, name_rcnm, ornt, ffpt_rind, name_rcid, catach, status, restrn"
tsezne,34,26,26,0,8,0,False,"lnam_refs, usag, mask, name_rcnm, ornt, ffpt_rind, name_rcid, status"
tsslpt,36,27,27,0,9,0,False,"lnam_refs, usag, mask, name_rcnm, ornt, ffpt_rind, name_rcid, status, restrn"
bcnspp,52,40,40,0,12,0,False,"lnam_refs, usag, mask, name_rcnm, ornt, ffpt_rind, name_rcid, colour, status, colpat, natcon, catspm"
pilbop,41,33,33,0,8,0,False,"lnam_refs, usag, mask, name_rcnm, ornt, ffpt_rind, name_rcid, status"
magvar,33,26,26,0,7,0,False,"lnam_refs, usag, mask, name_rcnm, ornt, ffpt_rind, name_rcid"
ponton,43,34,34,0,9,0,False,"lnam_refs, usag, mask, name_rcnm, ornt, ffpt_rind, name_rcid, status, natcon"
