layer_name,gpkg_count,postgis_count,difference,match,missing_in,status
edge,0.0,0.0,0.0,True,,
isolatednode,0.0,0.0,0.0,True,,
connectednode,0.0,0.0,0.0,True,,
dsid,6.0,6.0,0.0,True,,
face,0.0,0.0,0.0,True,,
lakare,,,,,postgis,MISSING
damcon,,,,,postgis,MISSING
seaare,,,,,postgis,MISSING
boysaw,,,,,postgis,MISSING
prcare,,,,,postgis,MISSING
splare,,,,,postgis,MISSING
wrecks,,,,,postgis,MISSING
m_qual,,,,,postgis,MISSING
m_npub,,,,,postgis,MISSING
magvar,,,,,postgis,MISSING
m_covr,,,,,postgis,MISSING
ofsplf,,,,,postgis,MISSING
lights,,,,,postgis,MISSING
rdocal,,,,,postgis,MISSING
siltnk,,,,,postgis,MISSING
rtpbcn,,,,,postgis,MISSING
cblare,,,,,postgis,MISSING
ponton,,,,,postgis,MISSING
lndelv,,,,,postgis,MISSING
depcnt,,,,,postgis,MISSING
dmpgrd,,,,,postgis,MISSING
slotop,,,,,postgis,MISSING
conzne,,,,,postgis,MISSING
rectrc,,,,,postgis,MISSING
tsezne,,,,,postgis,MISSING
boylat,,,,,postgis,MISSING
cgusta,,,,,postgis,MISSING
navlne,,,,,postgis,MISSING
admare,,,,,postgis,MISSING
daymar,,,,,postgis,MISSING
wattur,,,,,postgis,MISSING
marcul,,,,,postgis,MISSING
pipare,,,,,postgis,MISSING
wedklp,,,,,postgis,MISSING
mipare,,,,,postgis,MISSING
morfac,,,,,postgis,MISSING
ctsare,,,,,postgis,MISSING
m_nsys,,,,,postgis,MISSING
cblohd,,,,,postgis,MISSING
tssbnd,,,,,postgis,MISSING
bridge,,,,,postgis,MISSING
bcnlat,,,,,postgis,MISSING
feryrt,,,,,postgis,MISSING
buisgl,,,,,postgis,MISSING
lndare,,,,,postgis,MISSING
c_asso,,,,,postgis,MISSING
rivers,,,,,postgis,MISSING
obstrn,,,,,postgis,MISSING
soundg,,,,,postgis,MISSING
curent,,,,,postgis,MISSING
pilpnt,,,,,postgis,MISSING
coalne,,,,,postgis,MISSING
boyspp,,,,,postgis,MISSING
fogsig,,,,,postgis,MISSING
pipsol,,,,,postgis,MISSING
bcnspp,,,,,postgis,MISSING
uwtroc,,,,,postgis,MISSING
unsare,,,,,postgis,MISSING
lndrgn,,,,,postgis,MISSING
sbdare,,,,,postgis,MISSING
canals,,,,,postgis,MISSING
fairwy,,,,,postgis,MISSING
hrbfac,,,,,postgis,MISSING
rdosta,,,,,postgis,MISSING
fshzne,,,,,postgis,MISSING
buaare,,,,,postgis,MISSING
pilbop,,,,,postgis,MISSING
resare,,,,,postgis,MISSING
exezne,,,,,postgis,MISSING
achare,,,,,postgis,MISSING
tsslpt,,,,,postgis,MISSING
slogrd,,,,,postgis,MISSING
topmar,,,,,postgis,MISSING
airare,,,,,postgis,MISSING
c_aggr,,,,,postgis,MISSING
ctnare,,,,,postgis,MISSING
depare,,,,,postgis,MISSING
lndmrk,,,,,postgis,MISSING
tesare,,,,,postgis,MISSING
slcons,,,,,postgis,MISSING
cblsub,,,,,postgis,MISSING
