layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_b
rtpbcn,39,36,36,0,3,0,False,"lnam_refs, ffpt_rind, status"
rectrc,41,36,36,0,5,0,False,"tecsou, quasou, ffpt_rind, status, lnam_refs"
cgusta,32,29,29,0,3,0,False,"lnam_refs, ffpt_rind, status"
buaare,34,32,32,0,2,0,False,"ffpt_rind, lnam_refs"
ctsare,32,29,29,0,3,0,False,"lnam_refs, ffpt_rind, status"
m_qual,33,30,30,0,3,0,False,"tecsou, ffpt_rind, lnam_refs"
ponton,38,34,34,0,4,0,False,"natcon, lnam_refs, ffpt_rind, status"
conzne,29,26,26,0,3,0,False,"lnam_refs, ffpt_rind, status"
fogsig,39,36,36,0,3,0,False,"lnam_refs, ffpt_rind, status"
fshzne,29,26,26,0,3,0,False,"lnam_refs, ffpt_rind, status"
wrecks,41,36,36,0,5,0,False,"tecsou, quasou, ffpt_rind, status, lnam_refs"
dmpgrd,30,25,25,0,5,0,False,"catdpg, restrn, ffpt_rind, status, lnam_refs"
unsare,25,23,23,0,2,0,False,"ffpt_rind, lnam_refs"
obstrn,44,35,35,0,9,0,False,"prodct, tecsou, natsur, quasou, lnam_refs, ffpt_rind, status, natqua, natcon"
navlne,32,29,29,0,3,0,False,"lnam_refs, ffpt_rind, status"
pipsol,39,34,34,0,5,0,False,"prodct, catpip, ffpt_rind, status, lnam_refs"
achare,34,29,29,0,5,0,False,"restrn, ffpt_rind, status, catach, lnam_refs"
tssbnd,29,26,26,0,3,0,False,"lnam_refs, ffpt_rind, status"
face,10,10,10,0,0,0,True,
siltnk,43,36,36,0,7,0,False,"prodct, colour, colpat, lnam_refs, ffpt_rind, status, natcon"
cblsub,36,33,33,0,3,0,False,"lnam_refs, ffpt_rind, status"
admare,30,28,28,0,2,0,False,"ffpt_rind, lnam_refs"
daymar,42,35,35,0,7,0,False,"catspm, colour, colpat, lnam_refs, ffpt_rind, status, natcon"
m_nsys,27,25,25,0,2,0,False,"ffpt_rind, lnam_refs"
edge,22,22,22,0,0,0,True,
bcnlat,47,41,41,0,6,0,False,"colour, colpat, ffpt_rind, natcon, status, lnam_refs"
m_npub,25,23,23,0,2,0,False,"ffpt_rind, lnam_refs"
lndmrk,42,34,34,0,8,0,False,"catlmk, functn, colour, colpat, lnam_refs, ffpt_rind, status, natcon"
airare,32,28,28,0,4,0,False,"catair, lnam_refs, ffpt_rind, status"
isolatednode,10,10,10,0,0,0,True,
topmar,39,34,34,0,5,0,False,"colour, colpat, ffpt_rind, status, lnam_refs"
seaare,28,26,26,0,2,0,False,"ffpt_rind, lnam_refs"
boylat,42,36,36,0,6,0,False,"colour, colpat, ffpt_rind, natcon, status, lnam_refs"
lakare,30,28,28,0,2,0,False,"ffpt_rind, lnam_refs"
tesare,27,24,24,0,3,0,False,"restrn, ffpt_rind, lnam_refs"
soundg,34,29,29,0,5,0,False,"tecsou, quasou, ffpt_rind, status, lnam_refs"
slotop,37,31,31,0,6,0,False,"natsur, colour, ffpt_rind, natcon, natqua, lnam_refs"
boysaw,41,35,35,0,6,0,False,"colour, colpat, ffpt_rind, natcon, status, lnam_refs"
mipare,34,29,29,0,5,0,False,"catmpa, restrn, ffpt_rind, status, lnam_refs"
ofsplf,43,35,35,0,8,0,False,"prodct, colour, colpat, lnam_refs, ffpt_rind, status, catofp, natcon"
resare,34,29,29,0,5,0,False,"restrn, catrea, ffpt_rind, status, lnam_refs"
marcul,42,37,37,0,5,0,False,"restrn, quasou, ffpt_rind, status, lnam_refs"
bridge,44,38,38,0,6,0,False,"colour, colpat, ffpt_rind, natcon, catbrg, lnam_refs"
morfac,46,40,40,0,6,0,False,"colour, colpat, ffpt_rind, natcon, status, lnam_refs"
lndare,29,26,26,0,3,0,False,"lnam_refs, ffpt_rind, status"
pilpnt,38,34,34,0,4,0,False,"colour, lnam_refs, ffpt_rind, colpat"
magvar,28,26,26,0,2,0,False,"ffpt_rind, lnam_refs"
wattur,28,26,26,0,2,0,False,"ffpt_rind, lnam_refs"
