layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_b
resare,34,29,29,0,5,0,False,"status, lnam_refs, ffpt_rind, restrn, catrea"
airare,32,28,28,0,4,0,False,"lnam_refs, catair, status, ffpt_rind"
uwtroc,37,30,30,0,7,0,False,"status, lnam_refs, quasou, tecsou, ffpt_rind, natsur, natqua"
isolatednode,10,10,10,0,0,0,True,
tsezne,29,26,26,0,3,0,False,"lnam_refs, status, ffpt_rind"
bcnlat,47,41,41,0,6,0,False,"status, lnam_refs, natcon, ffpt_rind, colour, colpat"
sbdare,31,26,26,0,5,0,False,"lnam_refs, ffpt_rind, natsur, natqua, colour"
slcons,46,40,40,0,6,0,False,"status, lnam_refs, natcon, ffpt_rind, colour, colpat"
siltnk,43,36,36,0,7,0,False,"status, lnam_refs, ffpt_rind, natcon, prodct, colour, colpat"
admare,30,28,28,0,2,0,False,"lnam_refs, ffpt_rind"
magvar,28,26,26,0,2,0,False,"lnam_refs, ffpt_rind"
rtpbcn,39,36,36,0,3,0,False,"lnam_refs, status, ffpt_rind"
bridge,44,38,38,0,6,0,False,"lnam_refs, natcon, ffpt_rind, colour, colpat, catbrg"
soundg,34,29,29,0,5,0,False,"status, lnam_refs, quasou, tecsou, ffpt_rind"
cblsub,36,33,33,0,3,0,False,"lnam_refs, status, ffpt_rind"
edge,22,22,22,0,0,0,True,
bcnspp,47,40,40,0,7,0,False,"status, lnam_refs, catspm, ffpt_rind, natcon, colour, colpat"
cblohd,39,36,36,0,3,0,False,"lnam_refs, status, ffpt_rind"
boyspp,42,35,35,0,7,0,False,"status, lnam_refs, catspm, ffpt_rind, natcon, colour, colpat"
face,10,10,10,0,0,0,True,
lakare,30,28,28,0,2,0,False,"lnam_refs, ffpt_rind"
marcul,42,37,37,0,5,0,False,"status, lnam_refs, quasou, ffpt_rind, restrn"
ctsare,32,29,29,0,3,0,False,"lnam_refs, status, ffpt_rind"
wrecks,41,36,36,0,5,0,False,"status, lnam_refs, quasou, tecsou, ffpt_rind"
m_nsys,27,25,25,0,2,0,False,"lnam_refs, ffpt_rind"
