attribute,gpkg,spatialite,notes
METADATA_LAYER_NAME,navlne,navlne,Layer comparison between gpkg and spatialite
METADATA_TOTAL_FEATURES,7,7,Total features in each format
METADATA_GEOMETRY_FEATURES,7,7,Features with non-null geometry
METADATA_TOTAL_COLUMNS,33,34,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_catnav,PRESENT,PRESENT,Column presence comparison
COLUMN_datend,PRESENT,PRESENT,Column presence comparison
COLUMN_datsta,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,PRESENT,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_orient,PRESENT,PRESENT,Column presence comparison
COLUMN_perend,PRESENT,PRESENT,Column presence comparison
COLUMN_persta,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_status,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,7/7 (100.0%),7/7 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_catnav,5/7 (71.4%),5/7 (71.4%),Values Match (71.4%)
PROP_COMPLETENESS_datend,0/7 (0.0%),0/7 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_datsta,0/7 (0.0%),0/7 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_dsid_dsnm,7/7 (100.0%),7/7 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_edtn,7/7 (100.0%),7/7 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_updn,7/7 (100.0%),7/7 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_ffpt_rind,0/7 (0.0%),0/7 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_fidn,7/7 (100.0%),7/7 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_fids,7/7 (100.0%),7/7 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_grup,7/7 (100.0%),7/7 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_inform,2/7 (28.6%),2/7 (28.6%),Values Match (28.6%)
PROP_COMPLETENESS_lnam,7/7 (100.0%),7/7 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_lnam_refs,0/7 (0.0%),0/7 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ninfom,0/7 (0.0%),0/7 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ntxtds,0/7 (0.0%),0/7 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_objl,7/7 (100.0%),7/7 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_ogc_fid,7/7 (100.0%),7/7 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_orient,7/7 (100.0%),7/7 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_perend,0/7 (0.0%),0/7 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_persta,0/7 (0.0%),0/7 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_prim,7/7 (100.0%),7/7 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_rcid,7/7 (100.0%),7/7 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_recdat,0/7 (0.0%),0/7 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_recind,0/7 (0.0%),0/7 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_rver,7/7 (100.0%),7/7 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_scamax,0/7 (0.0%),0/7 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_scamin,7/7 (100.0%),7/7 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_sordat,7/7 (100.0%),7/7 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_sorind,7/7 (100.0%),7/7 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_status,0/7 (0.0%),0/7 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_txtdsc,0/7 (0.0%),0/7 (0.0%),Values Match (0.0%)
