layer_name,gpkg_count,postgis_count,difference,match,missing_in,status
edge,0.0,0.0,0.0,True,,
face,0.0,0.0,0.0,True,,
dsid,6.0,6.0,0.0,True,,
connectednode,0.0,0.0,0.0,True,,
isolatednode,0.0,0.0,0.0,True,,
rivers,,,,,postgis,MISSING
ctnare,,,,,postgis,MISSING
fogsig,,,,,postgis,MISSING
ctsare,,,,,postgis,MISSING
ponton,,,,,postgis,MISSING
damcon,,,,,postgis,MISSING
exezne,,,,,postgis,MISSING
canals,,,,,postgis,MISSING
pipsol,,,,,postgis,MISSING
bcnlat,,,,,postgis,MISSING
curent,,,,,postgis,MISSING
wedklp,,,,,postgis,MISSING
rtpbcn,,,,,postgis,MISSING
m_covr,,,,,postgis,MISSING
airare,,,,,postgis,MISSING
boylat,,,,,postgis,MISSING
marcul,,,,,postgis,MISSING
fairwy,,,,,postgis,MISSING
lndare,,,,,postgis,MISSING
rectrc,,,,,postgis,MISSING
soundg,,,,,postgis,MISSING
m_npub,,,,,postgis,MISSING
achare,,,,,postgis,MISSING
sbdare,,,,,postgis,MISSING
admare,,,,,postgis,MISSING
cgusta,,,,,postgis,MISSING
unsare,,,,,postgis,MISSING
slcons,,,,,postgis,MISSING
pipare,,,,,postgis,MISSING
bridge,,,,,postgis,MISSING
uwtroc,,,,,postgis,MISSING
fshzne,,,,,postgis,MISSING
hrbfac,,,,,postgis,MISSING
ofsplf,,,,,postgis,MISSING
resare,,,,,postgis,MISSING
feryrt,,,,,postgis,MISSING
pilbop,,,,,postgis,MISSING
tsezne,,,,,postgis,MISSING
boysaw,,,,,postgis,MISSING
cblohd,,,,,postgis,MISSING
boyspp,,,,,postgis,MISSING
morfac,,,,,postgis,MISSING
cblare,,,,,postgis,MISSING
prcare,,,,,postgis,MISSING
navlne,,,,,postgis,MISSING
splare,,,,,postgis,MISSING
seaare,,,,,postgis,MISSING
topmar,,,,,postgis,MISSING
slogrd,,,,,postgis,MISSING
lights,,,,,postgis,MISSING
lndrgn,,,,,postgis,MISSING
wrecks,,,,,postgis,MISSING
lndmrk,,,,,postgis,MISSING
daymar,,,,,postgis,MISSING
rdosta,,,,,postgis,MISSING
lndelv,,,,,postgis,MISSING
cblsub,,,,,postgis,MISSING
m_nsys,,,,,postgis,MISSING
buisgl,,,,,postgis,MISSING
slotop,,,,,postgis,MISSING
depare,,,,,postgis,MISSING
wattur,,,,,postgis,MISSING
coalne,,,,,postgis,MISSING
rdocal,,,,,postgis,MISSING
tesare,,,,,postgis,MISSING
depcnt,,,,,postgis,MISSING
magvar,,,,,postgis,MISSING
c_aggr,,,,,postgis,MISSING
conzne,,,,,postgis,MISSING
buaare,,,,,postgis,MISSING
siltnk,,,,,postgis,MISSING
tsslpt,,,,,postgis,MISSING
pilpnt,,,,,postgis,MISSING
bcnspp,,,,,postgis,MISSING
tssbnd,,,,,postgis,MISSING
obstrn,,,,,postgis,MISSING
c_asso,,,,,postgis,MISSING
m_qual,,,,,postgis,MISSING
lakare,,,,,postgis,MISSING
mipare,,,,,postgis,MISSING
dmpgrd,,,,,postgis,MISSING
