layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_b
m_qual,33,30,30,0,3,0,False,"lnam_refs, ffpt_rind, tecsou"
unsare,25,23,23,0,2,0,False,"lnam_refs, ffpt_rind"
m_npub,25,23,23,0,2,0,False,"lnam_refs, ffpt_rind"
tsezne,29,26,26,0,3,0,False,"lnam_refs, ffpt_rind, status"
dmpgrd,30,25,25,0,5,0,False,"ffpt_rind, status, lnam_refs, restrn, catdpg"
admare,30,28,28,0,2,0,False,"lnam_refs, ffpt_rind"
curent,31,29,29,0,2,0,False,"lnam_refs, ffpt_rind"
pipare,34,28,28,0,6,0,False,"ffpt_rind, status, lnam_refs, prodct, restrn, catpip"
lakare,30,28,28,0,2,0,False,"lnam_refs, ffpt_rind"
ofsplf,43,35,35,0,8,0,False,"ffpt_rind, status, lnam_refs, colpat, prodct, catofp, colour, natcon"
soundg,34,29,29,0,5,0,False,"ffpt_rind, tecsou, status, lnam_refs, quasou"
conzne,29,26,26,0,3,0,False,"lnam_refs, ffpt_rind, status"
pilbop,36,33,33,0,3,0,False,"lnam_refs, ffpt_rind, status"
slcons,46,40,40,0,6,0,False,"ffpt_rind, colpat, lnam_refs, status, natcon, colour"
uwtroc,37,30,30,0,7,0,False,"ffpt_rind, tecsou, status, lnam_refs, quasou, natqua, natsur"
boysaw,41,35,35,0,6,0,False,"ffpt_rind, colpat, lnam_refs, status, natcon, colour"
pilpnt,38,34,34,0,4,0,False,"lnam_refs, ffpt_rind, colour, colpat"
tsslpt,31,27,27,0,4,0,False,"lnam_refs, ffpt_rind, restrn, status"
damcon,40,35,35,0,5,0,False,"ffpt_rind, colpat, lnam_refs, natcon, colour"
canals,35,32,32,0,3,0,False,"lnam_refs, ffpt_rind, status"
marcul,42,37,37,0,5,0,False,"ffpt_rind, status, lnam_refs, restrn, quasou"
resare,34,29,29,0,5,0,False,"ffpt_rind, status, lnam_refs, catrea, restrn"
rdosta,38,34,34,0,4,0,False,"lnam_refs, ffpt_rind, status, catros"
cblsub,36,33,33,0,3,0,False,"lnam_refs, ffpt_rind, status"
feryrt,33,30,30,0,3,0,False,"lnam_refs, ffpt_rind, status"
wattur,28,26,26,0,2,0,False,"lnam_refs, ffpt_rind"
tesare,27,24,24,0,3,0,False,"lnam_refs, ffpt_rind, restrn"
ponton,38,34,34,0,4,0,False,"lnam_refs, ffpt_rind, natcon, status"
connectednode,10,10,10,0,0,0,True,
slotop,37,31,31,0,6,0,False,"ffpt_rind, lnam_refs, natqua, natsur, natcon, colour"
depare,30,27,27,0,3,0,False,"lnam_refs, ffpt_rind, quasou"
fogsig,39,36,36,0,3,0,False,"lnam_refs, ffpt_rind, status"
